selected_count,selected_rate,precision,recall,f1,operating_point,threshold_value,strategy,target
30283,0.7570939273481837,0.5173199484859492,0.9915189873417721,0.6799036521059827,score threshold,0.034,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.035,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.036000000000000004,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.037000000000000005,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.038,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.039,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.04,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.041,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.042,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.043000000000000003,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.044000000000000004,raw cri probability,y_cri_high
29759,0.743993599839996,0.5259249302731946,0.9905696202531645,0.6870651243442569,score threshold,0.045,raw cri probability,y_cri_high
26959,0.6739918497962449,0.5756890092362477,0.9822784810126582,0.7259290441778339,score threshold,0.046,raw cri probability,y_cri_high
26959,0.6739918497962449,0.5756890092362477,0.9822784810126582,0.7259290441778339,score threshold,0.047,raw cri probability,y_cri_high
26959,0.6739918497962449,0.5756890092362477,0.9822784810126582,0.7259290441778339,score threshold,0.048,raw cri probability,y_cri_high
26959,0.6739918497962449,0.5756890092362477,0.9822784810126582,0.7259290441778339,score threshold,0.049,raw cri probability,y_cri_high
26959,0.6739918497962449,0.5756890092362477,0.9822784810126582,0.7259290441778339,score threshold,0.05,raw cri probability,y_cri_high
26959,0.6739918497962449,0.5756890092362477,0.9822784810126582,0.7259290441778339,score threshold,0.051000000000000004,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.052000000000000005,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.053000000000000005,raw cri probability,y_cri_high
26729,0.6682417060426511,0.5801937969995137,0.9815189873417721,0.7292906017070705,score threshold,0.054,raw cri probability,y_cri_high
