algorithm,n_gen,n_eval,hypervolume
NSGA-III,137,13700,0.3485731807491001
NSGA-III,138,13800,0.3482640887012484
NSGA-III,139,13900,0.34591389735489353
NSGA-III,140,14000,0.3460748149519047
NSGA-III,141,14100,0.34815363763737867
NSGA-III,142,14200,0.34821537484823545
NSGA-III,143,14300,0.3484596472909925
NSGA-III,144,14400,0.34852472596707657
NSGA-III,145,14500,0.349341218932294
NSGA-III,146,14600,0.3487176031979385
NSGA-III,147,14700,0.3493186971763693
NSGA-III,148,14800,0.3478805108342332
NSGA-III,149,14900,0.34533498427056597
NSGA-III,150,15000,0.345583658336192
NSGA-III,151,15100,0.3474544221649861
NSGA-III,152,15200,0.3462562442932038
NSGA-III,153,15300,0.3488291402368551
NSGA-III,154,15400,0.35107319186818636
NSGA-III,155,15500,0.35099132510951947
NSGA-III,156,15600,0.35088147103949896
NSGA-III,157,15700,0.3511274396613997
NSGA-III,158,15800,0.35111755095644354
NSGA-III,159,15900,0.34917233170282036
NSGA-III,160,16000,0.3493038228035881
NSGA-III,161,16100,0.3493954539246991
NSGA-III,162,16200,0.3494678857733302
NSGA-III,163,16300,0.34946147270281264
NSGA-III,164,16400,0.3493637623919771
NSGA-III,165,16500,0.34921201422122355
NSGA-III,166,16600,0.3492704702286753
NSGA-III,167,16700,0.3494966077207413
NSGA-III,168,16800,0.35114388953115805
NSGA-III,169,16900,0.35078468058522105
NSGA-III,170,17000,0.3505677807671604
NSGA-III,171,17100,0.35077353111338705
NSGA-III,172,17200,0.35122103857954334
NSGA-III,173,17300,0.3510341321926691
NSGA-III,174,17400,0.3512916041443578
NSGA-III,175,17500,0.35236886919918514
NSGA-III,176,17600,0.352103054563222
NSGA-III,177,17700,0.35180565443465484
NSGA-III,178,17800,0.35205019408820093
NSGA-III,179,17900,0.3522629418002441
NSGA-III,180,18000,0.3523891845018554
NSGA-III,181,18100,0.35238504578931884
NSGA-III,182,18200,0.3524961819958568
NSGA-III,183,18300,0.352418370356253
NSGA-III,184,18400,0.3517233951743673
NSGA-III,185,18500,0.3514681210014431
NSGA-III,186,18600,0.35098702707060897
